timestamp,attack_vector,packets_sent,bytes_sent,active_connections,response_latency_ms,cid_len
2026-03-22T00:08:46.168868441+00:00,raw,13670258,505799546,0,0.000,20
2026-03-22T00:08:46.668541969+00:00,raw,13872557,513284609,0,0.000,20
2026-03-22T00:08:47.168305087+00:00,raw,14066475,520459575,0,0.000,20
2026-03-22T00:08:47.668730187+00:00,raw,14264747,527795639,0,0.000,20
2026-03-22T00:08:48.168645158+00:00,raw,14456841,534903117,0,0.000,20
2026-03-22T00:08:48.668599301+00:00,raw,14648668,542000716,0,0.000,20
2026-03-22T00:08:49.168554749+00:00,raw,14846010,549302370,0,0.000,20
2026-03-22T00:08:49.668274135+00:00,raw,15047910,556772670,0,0.000,20
2026-03-22T00:08:50.169093770+00:00,raw,15248969,564211853,0,0.000,20
2026-03-22T00:08:50.668998689+00:00,raw,15457994,571945778,0,0.000,20
2026-03-22T00:08:51.168881638+00:00,raw,15670477,579807649,0,0.000,20
2026-03-22T00:08:51.668556303+00:00,raw,15876861,587443857,0,0.000,20
2026-03-22T00:08:52.168424599+00:00,raw,16090546,595350202,0,0.000,20
2026-03-22T00:08:52.668261061+00:00,raw,16303371,603224727,0,0.000,20
2026-03-22T00:08:53.169052657+00:00,raw,16519255,611212435,0,0.000,20
2026-03-22T00:08:53.668681459+00:00,raw,16735126,619199662,0,0.000,20
2026-03-22T00:08:54.168547605+00:00,raw,16953136,627266032,0,0.000,20
2026-03-22T00:08:54.668294490+00:00,raw,17168490,635234130,0,0.000,20
2026-03-22T00:08:55.168201505+00:00,raw,17389401,643407837,0,0.000,20
2026-03-22T00:08:55.669047027+00:00,raw,17605995,651421815,0,0.000,20
2026-03-22T00:08:56.168901894+00:00,raw,17818680,659291160,0,0.000,20
2026-03-22T00:08:56.668774909+00:00,raw,18031743,667174491,0,0.000,20
2026-03-22T00:08:57.168661801+00:00,raw,18244744,675055528,0,0.000,20
2026-03-22T00:08:57.669074308+00:00,raw,18458024,682946888,0,0.000,20
2026-03-22T00:08:58.168503492+00:00,raw,18652536,690143832,0,0.000,20
2026-03-22T00:08:58.668954910+00:00,raw,18860346,697832802,0,0.000,20
2026-03-22T00:08:59.168417332+00:00,raw,19077935,705883595,0,0.000,20
2026-03-22T00:08:59.668973797+00:00,raw,19297385,714003245,0,0.000,20
2026-03-22T00:09:00.168312712+00:00,raw,19507412,721774244,0,0.000,20
2026-03-22T00:09:00.668679731+00:00,raw,19717746,729556602,0,0.000,20
2026-03-22T00:09:01.169025792+00:00,raw,19934770,737586490,0,0.000,20
2026-03-22T00:09:01.668356653+00:00,raw,20147100,745442700,0,0.000,20
2026-03-22T00:09:02.168206593+00:00,raw,20355683,753160271,0,0.000,20
2026-03-22T00:09:02.668128743+00:00,raw,20564325,760880025,0,0.000,20
2026-03-22T00:09:03.168103350+00:00,raw,20776312,768723544,0,0.000,20
2026-03-22T00:09:03.669003076+00:00,raw,20988685,776581345,0,0.000,20
2026-03-22T00:09:04.168909662+00:00,raw,21188818,783986266,0,0.000,20
2026-03-22T00:09:04.668811316+00:00,raw,21400351,791812987,0,0.000,20
2026-03-22T00:09:05.168743758+00:00,raw,21602111,799278107,0,0.000,20
2026-03-22T00:09:05.668545705+00:00,raw,21812229,807052473,0,0.000,20
2026-03-22T00:09:06.168113661+00:00,raw,22023438,814867206,0,0.000,20
2026-03-22T00:09:06.668702773+00:00,raw,22234406,822673022,0,0.000,20
2026-03-22T00:09:07.168246902+00:00,raw,22446446,830518502,0,0.000,20
2026-03-22T00:09:07.668840802+00:00,raw,22660209,838427733,0,0.000,20
2026-03-22T00:09:08.168558708+00:00,raw,22874363,846351431,0,0.000,20
2026-03-22T00:09:08.668231200+00:00,raw,23085569,854166053,0,0.000,20
